date,value_etf,ticker,field
2022-12-06,137.39,XLV US Equity,close
2022-12-06,-0.0076,XLV US Equity,daily_return
2022-12-06,139.54,XLY US Equity,close
2022-12-06,-0.0156,XLY US Equity,daily_return
2022-12-07,81.19,XLB US Equity,close
2022-12-07,-0.0022,XLB US Equity,daily_return
2022-12-07,49.4,XLC US Equity,close
2022-12-07,-0.005,XLC US Equity,daily_return
2022-12-07,85.12,XLE US Equity,close
2022-12-07,-0.0023,XLE US Equity,daily_return
2022-12-07,34.59,XLF US Equity,close
2022-12-07,-0.004,XLF US Equity,daily_return
2022-12-07,99.3,XLI US Equity,close
2022-12-07,-0.0013,XLI US Equity,daily_return
2022-12-07,129.6,XLK US Equity,close
2022-12-07,-0.0051,XLK US Equity,daily_return
2022-12-07,76.07,XLP US Equity,close
2022-12-07,0.0042,XLP US Equity,daily_return
2022-12-07,38.1,XLRE US Equity,close
2022-12-07,0.0021,XLRE US Equity,daily_return
2022-12-07,70.74,XLU US Equity,close
2022-12-07,-0.0046,XLU US Equity,daily_return
2022-12-07,138.52,XLV US Equity,close
2022-12-07,0.0082,XLV US Equity,daily_return
2022-12-07,138.7,XLY US Equity,close
2022-12-07,-0.006,XLY US Equity,daily_return
2022-12-08,81.79,XLB US Equity,close
2022-12-08,0.0074,XLB US Equity,daily_return
2022-12-08,49.3,XLC US Equity,close
2022-12-08,-0.002,XLC US Equity,daily_return
2022-12-08,84.74,XLE US Equity,close
2022-12-08,-0.0045,XLE US Equity,daily_return
2022-12-08,34.62,XLF US Equity,close
2022-12-08,0.0009,XLF US Equity,daily_return
2022-12-08,99.89,XLI US Equity,close
2022-12-08,0.0059,XLI US Equity,daily_return
2022-12-08,131.72,XLK US Equity,close
2022-12-08,0.0164,XLK US Equity,daily_return
2022-12-08,76.48,XLP US Equity,close
2022-12-08,0.0054,XLP US Equity,daily_return
2022-12-08,38.38,XLRE US Equity,close
2022-12-08,0.0073,XLRE US Equity,daily_return
2022-12-08,71.2,XLU US Equity,close
2022-12-08,0.0065,XLU US Equity,daily_return
2022-12-08,139.77,XLV US Equity,close
2022-12-08,0.009,XLV US Equity,daily_return
2022-12-08,140.04,XLY US Equity,close
2022-12-08,0.0097,XLY US Equity,daily_return
2022-12-09,80.98,XLB US Equity,close
2022-12-09,-0.0099,XLB US Equity,daily_return
2022-12-09,49.44,XLC US Equity,close
2022-12-09,0.0028,XLC US Equity,daily_return
2022-12-09,82.68,XLE US Equity,close
2022-12-09,-0.0243,XLE US Equity,daily_return
2022-12-09,34.53,XLF US Equity,close
2022-12-09,-0.0026,XLF US Equity,daily_return
2022-12-09,99.07,XLI US Equity,close
2022-12-09,-0.0082,XLI US Equity,daily_return
2022-12-09,130.91,XLK US Equity,close
2022-12-09,-0.0061,XLK US Equity,daily_return
2022-12-09,75.89,XLP US Equity,close
2022-12-09,-0.0077,XLP US Equity,daily_return
2022-12-09,38.3,XLRE US Equity,close
2022-12-09,-0.0021,XLRE US Equity,daily_return
2022-12-09,70.83,XLU US Equity,close
2022-12-09,-0.0052,XLU US Equity,daily_return
2022-12-09,137.98,XLV US Equity,close
2022-12-09,-0.0128,XLV US Equity,daily_return
2022-12-09,139.43,XLY US Equity,close
2022-12-09,-0.0044,XLY US Equity,daily_return
2022-12-12,81.68,XLB US Equity,close
2022-12-12,0.0086,XLB US Equity,daily_return
2022-12-12,49.83,XLC US Equity,close
2022-12-12,0.0079,XLC US Equity,daily_return
2022-12-12,84.85,XLE US Equity,close
2022-12-12,0.0262,XLE US Equity,daily_return
2022-12-12,34.99,XLF US Equity,close
2022-12-12,0.0133,XLF US Equity,daily_return
2022-12-12,100.77,XLI US Equity,close
2022-12-12,0.0172,XLI US Equity,daily_return
2022-12-12,133.77,XLK US Equity,close
2022-12-12,0.0218,XLK US Equity,daily_return
2022-12-12,76.69,XLP US Equity,close
2022-12-12,0.0105,XLP US Equity,daily_return
2022-12-12,38.62,XLRE US Equity,close
2022-12-12,0.0084,XLRE US Equity,daily_return
2022-12-12,72.45,XLU US Equity,close
2022-12-12,0.0229,XLU US Equity,daily_return
2022-12-12,139.45,XLV US Equity,close
2022-12-12,0.0107,XLV US Equity,daily_return
2022-12-12,139.78,XLY US Equity,close
2022-12-12,0.0025,XLY US Equity,daily_return
2022-12-13,82.81,XLB US Equity,close
2022-12-13,0.0138,XLB US Equity,daily_return
2022-12-13,50.67,XLC US Equity,close
2022-12-13,0.0169,XLC US Equity,daily_return
2022-12-13,86.46,XLE US Equity,close
2022-12-13,0.019,XLE US Equity,daily_return
2022-12-13,35.08,XLF US Equity,close
2022-12-13,0.0026,XLF US Equity,daily_return
2022-12-13,101.15,XLI US Equity,close
2022-12-13,0.0038,XLI US Equity,daily_return
2022-12-13,135.35,XLK US Equity,close
